,Unnamed: 0,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size
180,180,M2308556770,condo,1050000,1.0,2,2,San Diego,500 W Harbor Dr Unit 140,92101,CA,San Diego,1574
181,181,M2684593607,condo,279900,0.0,1,0,San Diego,207 5th Ave Unit 906,92101,CA,San Diego,296
182,182,M1513698765,condo,529000,0.0,3,3,San Diego,17526 Ashburton Rd,92128,CA,San Diego,1772
183,183,M2012788356,condo,769000,1.0,2,4,San Diego,16061 Blazewood Way,92127,CA,San Diego,1955
184,184,M1571535477,condo,527500,0.0,2,2,San Diego,5895 Friars Rd Apt 5116,92110,CA,San Diego,1228
185,185,M2329113384,condo,1200000,0.0,3,3,San Diego,1431 Pacific Hwy Unit 207,92101,CA,San Diego,1840
186,186,M1924066584,condo,535000,1.0,2,2,San Diego,10543 Avenida Olinda Unit 2,92127,CA,San Diego,1211
187,187,M1268652448,condo,395000,0.0,2,2,San Diego,13317 Caminito Ciera Unit 149,92129,CA,San Diego,889
188,188,M1999597986,condo,289000,0.0,1,1,San Diego,4545 Collwood Blvd Unit 25,92115,CA,San Diego,756
189,189,M1594784381,condo,2050000,0.0,2,2,La Jolla,939 Coast Blvd Unit 5B,92037,CA,San Diego,1937
190,190,M2936377234,condo,445000,0.0,2,3,San Diego,9366 Twin Trails Dr Unit 101,92129,CA,San Diego,1127
191,191,M2493110862,condo,339000,0.0,2,2,San Diego,3980 Faircross Pl Unit 8,92115,CA,San Diego,1069
192,192,M1421575979,condo,559000,0.0,1,1,San Diego,1601 India St Unit 105,92101,CA,San Diego,926
193,193,M1027515875,condo,399900,1.0,1,2,San Diego,3727 Herman Ave Apt 6,92104,CA,San Diego,802
194,194,M1454993502,condo,339000,0.0,2,3,San Diego,8709 Lake Murray Blvd Unit 7,92119,CA,San Diego,1149
195,195,M2335237809,condo,565000,1.0,2,3,San Diego,4032 Mount Acadia Blvd,92111,CA,San Diego,1872
196,196,M2532595701,condo,699000,0.0,2,2,San Diego,1225 Island Ave Unit 101,92101,CA,San Diego,1988
197,197,M2504647406,condo,905000,0.0,2,3,San Diego,1240 India St Unit 1102,92101,CA,San Diego,1388
198,198,M2645830209,condo,375000,0.0,1,2,San Diego,2752 B St Unit 112,92102,CA,San Diego,770
199,199,M1899857020,condo,349000,0.0,1,1,San Diego,3440 Lebon Dr Apt 4115,92122,CA,San Diego,535
0,0,M2295725393,condo,514900,1.0,2,2,Anaheim,3534 W Savanna St,92804,CA,Orange,1412
1,1,M2902733180,condo,759000,0.0,3,3,Anaheim Hills,215 S San Vicente Ln,92807,CA,Orange,2255
2,2,M2574967170,condo,349500,0.0,1,1,Anaheim,1801 E Katella Ave Apt 1100,92805,CA,Orange,651
3,3,M1415009224,condo,400000,1.0,1,1,Anaheim Hills,7920 E Monte Carlo Ave,92808,CA,Orange,880
4,4,M2734182563,condo,379900,0.0,2,2,Anaheim,1950 W Glenoaks Ave Apt B,92801,CA,Orange,1204
5,5,M2193334327,condo,475000,1.0,2,3,Anaheim,2022 W Lafayette Dr Unit 6,92801,CA,Orange,1219
6,6,M2284713293,condo,280000,0.0,1,1,Anaheim,278 N Wilshire Ave Ph B2,92801,CA,Orange,682
7,7,M2685364178,condo,369000,0.0,1,1,Anaheim,1801 E Katella Ave Apt 3014,92805,CA,Orange,651
8,8,M1445991744,condo,314900,0.0,1,2,Anaheim,1250 S Brookhurst St Unit 2089,92804,CA,Orange,856
9,9,M1359147577,condo,647500,1.0,2,3,Anaheim Hills,7923 E Viewrim Dr,92808,CA,Orange,1611
10,10,M1422462413,condo,388000,1.0,1,1,Anaheim Hills,1022 S Gibraltar Ave,92808,CA,Orange,865
11,11,M9211699645,condo,573000,1.0,2,2,Anaheim,727 S Mosaic St,92805,CA,,1378
12,12,M1973713533,condo,525000,0.0,2,3,Anaheim,2086 S June Pl,92802,CA,Orange,1232
13,13,M1712066202,condo,449999,1.0,1,2,Anaheim,1667 S Heritage Cir Unit B,92804,CA,Orange,1248
14,14,M2553867829,condo,459000,0.0,2,2,Anaheim,1801 E Katella Ave Apt 1021,92805,CA,Orange,1095
15,15,M2285088153,condo,635000,0.0,3,3,Anaheim Hills,730 S Camino Grande,92807,CA,Orange,1539
16,16,M2719384743,condo,544900,1.0,2,3,Anaheim Hills,919 S Pagossa Way,92808,CA,Orange,1250
17,17,M1395742732,condo,385000,0.0,1,1,Anaheim,1135 S Positano Ave,92808,CA,Orange,761
18,18,M2197811315,condo,525000,0.0,2,3,Anaheim Hills,5641 E Vista Del Cerro,92807,CA,Orange,1537
19,19,M2792113770,condo,500000,0.0,2,3,Anaheim Hills,1022 S Rossano Way,92808,CA,Orange,1187
20,20,M2830325454,condo,479900,0.0,2,2,Anaheim Hills,8412 E Arrowhead Way,92808,CA,Orange,998
21,21,M1905258871,condo,565000,1.0,2,3,Anaheim Hills,8527 E Tioga Way,92808,CA,Orange,1250
22,22,M2825019597,condo,479900,0.0,2,2,Anaheim Hills,1023 S Stresa Way,92808,CA,Orange,1014
23,23,M2979236460,condo,590000,1.0,2,2,Anaheim Hills,984 S Rim Crest Dr Unit 7,92807,CA,Orange,1661
24,24,M2477966060,condo,549000,0.0,2,2,Anaheim,514 S Anaheim Blvd Unit 2,92805,CA,Orange,1450
25,25,M2106770618,condo,650000,1.0,2,4,Anaheim Hills,670 S Gentry Ln,92807,CA,Orange,2100
26,26,M2275410105,condo,539500,1.0,2,3,Anaheim,549 W Summerfield Cir,92802,CA,Orange,1497
27,27,M2246046589,condo,429000,0.0,2,2,Anaheim,435 W Center Street Promenade Unit 407,92805,CA,Orange,1088
28,28,M1392388797,condo,599990,0.0,2,2,Anaheim Hills,7733 E Viewrim Dr,92808,CA,Orange,1357
29,29,M9525666102,condo,665880,1.0,3,3,Anaheim,1696 W Rhombus Ln,92802,CA,Orange,1964
30,30,M9901974529,condo,384900,1.0,1,3,Anaheim,1779 N Cedar Glen Dr Unit D216,92807,CA,Orange,1134
31,31,M1913755506,condo,365000,1.0,1,2,Anaheim,1800 W Gramercy Ave Apt 3,92801,CA,Orange,964
32,32,M9846943995,condo,674921,1.0,3,4,Anaheim,535 Motif St,92805,CA,,2179
33,33,M9801202116,condo,400000,1.0,1,3,Anaheim,5488 E Willow Woods /C Ln Unit 99,92807,CA,Orange,1068
34,34,M2484961878,condo,549000,1.0,2,2,Anaheim,2764 W Madison Cir,92801,CA,Orange,1551
35,35,M2933116724,condo,330000,0.0,2,2,Anaheim,1082 S Citron St Unit 49,92805,CA,Orange,988
36,36,M2867491399,condo,568000,0.0,2,2,Anaheim Hills,5567 E Stetson Ct Unit 49,92807,CA,Orange,1530
37,37,M1611441858,condo,335000,0.0,1,1,Anaheim,3535 W Stonepine Ln Unit C,92804,CA,Orange,798
38,38,M1173680970,condo,559000,1.0,2,3,Anaheim,823 S Anaheim Blvd Unit 102,92805,CA,Orange,1583
39,39,M1818364414,condo,555000,1.0,2,2,Anaheim Hills,1010 S Dewcrest Dr,92808,CA,Orange,1460
40,40,M1755632440,condo,329500,0.0,1,1,Anaheim,3575 W Stonepine Ln Unit 213,92804,CA,Orange,798
41,41,M2841614588,condo,725000,1.0,2,3,Anaheim,1884 W Surf Dr,92801,CA,Orange,2240
42,42,M1081318603,condo,339000,0.0,2,2,Anaheim,278 N Wilshire Ave Unit 144,92801,CA,Orange,1074
43,43,M1808365799,condo,629900,1.0,2,3,Anaheim,501 S Anaheim Blvd,92805,CA,Orange,1941
44,44,M9051452775,condo,659900,0.0,3,3,Anaheim,918 E Weaver Ln,92802,CA,Orange,1533
45,45,M2140682625,condo,790000,1.0,2,3,Anaheim Hills,4364 E Terra Vista Ln,92807,CA,Orange,2815
46,46,M1853347413,condo,529000,0.0,3,3,Anaheim Hills,952 S Country Glen Way,92808,CA,Orange,1171
47,47,M1704605002,condo,286900,0.0,1,2,Anaheim,957 S Citron St Unit 7,92805,CA,Orange,824
48,48,M1504275678,condo,455000,1.0,2,3,Anaheim,1700 W Cerritos Ave Unit 103,92804,CA,Orange,1239
49,49,M9457151729,condo,694119,1.0,3,4,Anaheim,783 Mosaic St,92805,CA,,1841
50,50,M1822708815,condo,370000,0.0,1,1,Anaheim,1801 E Katella Ave Apt 4069,92805,CA,Orange,728
51,51,M2457412168,condo,395000,0.0,1,2,Anaheim,1704 N Willow Woods Dr Unit B,92807,CA,Orange,882
52,52,M2167659405,condo,448880,1.0,1,1,Anaheim,425 S Anaheim Blvd Unit 8,92805,CA,Orange,1055
53,53,M9777041358,condo,542000,1.0,2,2,Anaheim,577 Motif St,92805,CA,,1364
54,54,M9750295224,condo,661400,1.0,2,2,Anaheim,575 Motif St,92805,CA,,1975
55,55,M9786318168,condo,709374,1.0,3,4,Anaheim,539 Motif St,92805,CA,,2179
56,56,M1769770937,condo,659000,0.0,3,3,Anaheim Hills,6092 E Morningview Dr Unit 3,92807,CA,Orange,1392
57,57,M2459312731,condo,399000,0.0,1,2,Anaheim,1760 N Oak Knoll Dr Unit 250,92807,CA,Orange,882
58,58,M9389612164,condo,621990,1.0,3,3,Anaheim,642 S Kinney Way,92805,CA,Orange,1699
59,59,M2913291149,condo,305000,0.0,2,2,Anaheim,1122 S Citron St Unit 84,92805,CA,Orange,988
60,60,M1042136658,condo,380000,0.0,1,2,Anaheim,3008 W Cheryllyn Ln Unit 6,92804,CA,Orange,834
61,61,M9760952189,condo,669900,0.0,3,3,Anaheim,939 E Weaver Ln,92802,CA,Orange,1533
62,62,M1416015405,condo,385000,0.0,1,1,Anaheim Hills,1023 S Positano Ave,92808,CA,Orange,743
63,63,M1898191547,condo,515000,1.0,2,3,Anaheim,618 W Vermont Ave Unit 31,92805,CA,Orange,1240
64,64,M2899749459,condo,599000,0.0,2,3,Anaheim,1990 W Windward Dr,92801,CA,Orange,1621
65,65,M9038483209,condo,659990,1.0,3,3,Anaheim,3316 W Mirano Dr,92801,CA,Orange,1812
66,66,M1864638993,condo,479000,0.0,2,2,Anaheim Hills,1294 S Country Glen Way,92808,CA,Orange,1046
67,67,M2271981639,condo,340000,0.0,1,1,Anaheim,3594 W Carrotwood Ct Unit B,92804,CA,Orange,798
68,68,M1443490554,condo,450000,1.0,1,3,Anaheim,236 S Aron Pl,92804,CA,Orange,1280
69,69,M2284640961,condo,559900,1.0,2,3,Anaheim Hills,6523 E Camino Vis Unit 4,92807,CA,Orange,1540
70,70,M1431070846,condo,320000,0.0,1,2,Anaheim,1860 W Glenoaks Ave Apt L,92801,CA,Orange,876
71,71,M9091525128,condo,658274,1.0,3,4,Anaheim,523 Motif St,92805,CA,,2179
72,72,M2290508162,condo,514900,1.0,2,2,Anaheim,3538 W Savanna St,92804,CA,Orange,1412
73,73,M1553967352,condo,314900,0.0,1,2,Anaheim,1250 S Brookhurst St Unit 2009,92804,CA,Orange,856
74,74,M1173010183,condo,549000,1.0,2,2,Anaheim,1691 E Lincoln Ave,92805,CA,Orange,1628
75,75,M1954535480,condo,399900,1.0,1,1,Anaheim,702 S Casita St,92805,CA,Orange,755
76,76,M2143589369,condo,899000,1.0,2,4,Anaheim Hills,675 S Londerry Ln,92807,CA,Orange,2319
77,77,M2480797356,condo,608000,1.0,2,3,Anaheim,116 W Santa Ana St,92805,CA,Orange,1412
78,78,M1724438495,condo,450000,0.0,3,2,Anaheim,1669 S Heritage Cir Unit B,92804,CA,Orange,1248
79,79,M2838743978,condo,365000,0.0,1,1,Anaheim,1801 E Katella Ave Apt 2071,92805,CA,Orange,728
80,80,M9852914526,condo,612073,1.0,2,2,Anaheim,915 E Mason Ln Unit 15,92805,CA,Orange,1554
81,81,M2370880403,condo,349900,0.0,2,2,Anaheim,1152 N West St Apt D1,92801,CA,Orange,917
82,82,M2449052641,condo,419000,0.0,1,1,Anaheim,435 W Center Street Promenade Unit 222,92805,CA,Orange,1035
83,83,M2643130186,condo,699900,0.0,3,3,Anaheim Hills,6179 E Morningview Dr Unit 18,92807,CA,Orange,2177
84,84,M2216364680,condo,465000,1.0,2,3,Anaheim,2044 W Hastings Way Unit 52,92801,CA,Orange,1254
85,85,M1864340866,condo,474900,0.0,2,2,Anaheim Hills,1072 S Country Glen Way,92808,CA,Orange,1046
86,86,M1416052671,condo,359500,0.0,1,2,Anaheim,1900 W Glenoaks Ave Apt B,92801,CA,Orange,882
87,87,M2093286644,condo,459000,1.0,2,3,Anaheim,409 N Beth St Unit C,92806,CA,Orange,1266
88,88,M9139615607,condo,663000,1.0,3,3,Anaheim,942 E Drapery Ln,92802,CA,Orange,1700
89,89,M2271497181,condo,335000,0.0,1,1,Anaheim,3512 W Stonepine Ln Unit D,92804,CA,Orange,798
90,90,M9181374283,condo,509900,1.0,2,2,Anaheim,3540 W Savanna St,92804,CA,Orange,1412
91,91,M2155884743,condo,417500,0.0,2,2,Anaheim,3537 W Greentree Cir Unit 136,92804,CA,Orange,1026
92,92,M2704874198,condo,365000,0.0,1,2,Anaheim,221 N Tustin Ave Apt B,92807,CA,Orange,786
93,93,M9033462689,condo,479700,1.0,2,2,Anaheim,1226 S Macduff St,92804,CA,Orange,1412
94,94,M1969243545,condo,199888,0.0,1,2,Anaheim,994 S Sutter Creek Rd Unit 60,92804,CA,Orange,924
95,95,M9473680538,condo,656110,1.0,2,3,Anaheim,559 Motif St,92805,CA,,1975
96,96,M1385680928,condo,520000,1.0,2,2,Anaheim Hills,1153 S Positano Ave,92808,CA,Orange,1190
97,97,M2670240839,condo,455000,0.0,2,1,Anaheim,1801 E Katella Ave Apt 4165,92805,CA,Orange,1049
98,98,M1465067535,condo,530000,0.0,3,3,Anaheim,248 S Aron Pl,92804,CA,Orange,1584
99,99,M1558886456,condo,485000,1.0,2,3,Anaheim,1700 W Cerritos Ave Unit 335,92804,CA,Orange,1166
100,100,M9173006623,condo,499900,1.0,2,2,Anaheim,3572 W Savanna St,92804,CA,Orange,1412
101,101,M9295839801,condo,619990,0.0,3,2,Anaheim,634 S Kinney Way,92805,CA,Orange,1569
102,102,M2637372278,condo,359900,0.0,1,1,Anaheim,1801 E Katella Ave Apt 2104,92805,CA,Orange,728
103,103,M9713644457,condo,849048,1.0,2,3,Anaheim,526 S Motif St,92805,CA,,2320
104,104,M9197137639,condo,849900,1.0,2,3,Anaheim,534 S Motif St,92805,CA,,2137
105,105,M1334738384,condo,483900,1.0,2,3,Anaheim,3083 W Cheryllyn Ln,92804,CA,Orange,1311
106,106,M1473270414,condo,349900,0.0,2,2,Anaheim,1250 S Brookhurst St Unit 2102,92804,CA,Orange,912
107,107,M9702116655,condo,664747,1.0,2,3,Anaheim,527 Motif St,92805,CA,,1795
108,108,M2658129408,condo,369900,0.0,1,1,Anaheim,1801 E Katella Ave Apt 4044,92805,CA,Orange,728
109,109,M9134855391,condo,657311,1.0,2,3,Anaheim,781 Mosaic St,92805,CA,,1695
110,110,M9187018394,condo,568368,1.0,2,2,Anaheim,779 Mosaic St,92805,CA,,1378
111,111,M2430367243,condo,499000,1.0,2,3,Anaheim,3311 W Lincoln Ave Apt 4,92801,CA,Orange,1604
112,112,M1952685726,condo,499000,1.0,2,3,Anaheim,2361 S Cutty Way Unit 64,92802,CA,Orange,1392
113,113,M1456351676,condo,319888,0.0,2,2,Anaheim,1250 S Brookhurst St Unit 2034,92804,CA,Orange,912
114,114,M9744621115,condo,585990,1.0,3,3,Anaheim,670 S Kinney Way,92805,CA,Orange,1701
115,115,M2197289592,condo,549990,1.0,2,2,Anaheim Hills,5639 E Vista Del Cerro,92807,CA,Orange,1400
116,116,M9397636765,condo,688585,1.0,2,3,Anaheim,981 E Mason Ln Unit 119,92805,CA,Orange,1858
117,117,M9209438035,condo,613073,1.0,2,2,Anaheim,1678 S Lewis St,92805,CA,Orange,1554
118,118,M9089631109,condo,768125,1.0,3,4,Anaheim,981 E Mason Ln Unit 121,92805,CA,Orange,2185
119,119,M1509232048,condo,315000,0.0,1,2,Anaheim,1250 S Brookhurst St Unit 1075,92804,CA,Orange,856
120,120,M1320307322,condo,437000,0.0,3,2,Anaheim,294 S Seneca Cir Unit 55,92805,CA,Orange,1292
121,121,M2209464029,condo,339000,0.0,1,1,Anaheim,1801 E Katella Ave Apt 1065,92805,CA,Orange,651
122,122,M2840510857,condo,275000,0.0,1,2,Anaheim,1178 S Citron St Unit 76,92805,CA,Orange,824
123,123,M2990890307,condo,384900,1.0,1,2,Anaheim,3999 E Santa Ana Canyon Rd Apt 112,92807,CA,Orange,986
124,124,M1875120444,condo,319900,1.0,1,2,Anaheim,500 N Tustin Ave Apt 126,92807,CA,Orange,866
125,125,M1319748333,condo,270000,0.0,1,2,Anaheim,1166 S Citron St Unit 79,92805,CA,Orange,824
126,126,M2705009964,condo,375900,0.0,1,1,Anaheim,1801 E Katella Ave Apt 2129,92805,CA,Orange,728
127,127,M2292064833,condo,425000,1.0,1,3,Anaheim,2148 W York Cir,92804,CA,Orange,1343
128,128,M9829475459,condo,718000,1.0,3,4,Anaheim,967 E Mason Ln Unit 94,92805,CA,Orange,2070
129,129,M9202106073,condo,669000,1.0,3,3,Anaheim,2354 S Tapestry Way,92802,CA,Orange,1741
130,130,M9866054394,condo,583990,1.0,3,3,Anaheim,662 S Kinney Way,92805,CA,Orange,1699
131,131,M9669096972,condo,540990,0.0,3,3,Anaheim,668 S Kinney Way,92805,CA,Orange,1569
132,132,M1469730149,condo,250000,0.0,2,3,Anaheim,1250 S Brookhurst St Unit 1104,92804,CA,Orange,1172
133,133,M1745397698,condo,749900,0.0,3,3,Anaheim Hills,5810 E Mountain Loop Trl Unit 35,92807,CA,Orange,2016
134,134,M9758030238,condo,513990,1.0,2,2,Anaheim,665 S Kinney Way,92805,CA,Orange,1401
135,135,M1421307169,condo,405900,0.0,2,3,Anaheim,1901 W Greenleaf Ave Apt B,92801,CA,Orange,1257
136,136,M2444449487,condo,549000,0.0,2,3,Anaheim,435 W Center Street Promenade Unit 308,92805,CA,Orange,2179
137,137,M9952538906,condo,594000,1.0,2,2,Anaheim,923 E Mason Ln Unit 34,92805,CA,Orange,1554
138,138,M2624571746,condo,398000,0.0,2,2,Anaheim,2669 W Cameron Ct Unit 215,92801,CA,Orange,1138
139,139,M1456836133,condo,320000,0.0,2,3,Anaheim,1250 S Brookhurst St Unit 2051,92804,CA,Orange,1172
140,140,M2245860259,condo,560000,0.0,2,3,Anaheim,435 W Center Street Promenade Unit 336,92805,CA,Orange,1953
141,141,M1059643580,condo,550000,0.0,2,2,Anaheim,114 S Harbor Blvd,92805,CA,Orange,1528
0,0,M1871614480,condo,475000,0.0,2,2,Los Angeles,4049 Via Marisol Apt 322,90042,CA,Los Angeles,1102
1,1,M1521023494,condo,525000,1.0,2,2,Burbank,8038 Via Latina,91504,CA,Los Angeles,1244
2,2,M2286048569,condo,1748000,1.0,3,3,Playa Vista,5735 Dawn Crk,90094,CA,Los Angeles,2628
3,3,M9715181242,condo,663990,3.0,3,4,Winnetka,20612 Desert Ash Ln,91306,CA,Los Angeles,1918
4,4,M9295211483,condo,624990,3.0,3,3,Winnetka,8221 Oakhaven Ct,91306,CA,Los Angeles,1786
5,5,M1227722304,condo,569900,0.0,3,2,San Pedro,1915 Mount Shasta Dr Unit 159,90732,CA,Los Angeles,1572
6,6,M1418431577,condo,739000,0.0,2,2,Westwood Century City,10645 Wilshire Blvd Apt 303,90024,CA,Los Angeles,1126
7,7,M1825620693,condo,359000,0.0,3,2,Harbor City,1436 257th St Unit 106,90710,CA,Los Angeles,1083
8,8,M2343780116,condo,3295000,1.0,2,2,Los Angeles,10800 Wilshire Blvd Apt 1302,90024,CA,Los Angeles,2840
9,9,M1936005199,condo,559950,1.0,1,2,Burbank,9667 Via Torino Unit 152,91504,CA,Los Angeles,1151
10,10,M1267835532,condo,289000,0.0,2,2,Tarzana,18620 Hatteras St Unit 247,91356,CA,Los Angeles,910
11,11,M1637288952,condo,544888,0.0,2,2,Los Angeles,316 N Avenue 66 Apt 7,90042,CA,Los Angeles,1069
12,12,M2837294582,condo,569900,0.0,2,2,Los Angeles,7033 LA Tijera Blvd Apt J201,90045,CA,Los Angeles,1632
13,13,M1973037701,condo,339900,0.0,1,1,Woodland Hills,5510 Owensmouth Ave Apt 219,91367,CA,Los Angeles,610
14,14,M1241413978,condo,289000,0.0,2,2,Tarzana,18620 Hatteras St Unit 243,91356,CA,Los Angeles,910
15,15,M2521350039,condo,429900,0.0,3,3,Panorama City,7869 Ventura Canyon Ave Unit 301,91402,CA,Los Angeles,1286
16,16,M9229843151,condo,1079000,1.0,2,2,Studio City,4322 Gentry Ave Unit 103,91604,CA,Los Angeles,1435
17,17,M2292677535,condo,240000,0.0,1,2,Pacoima,12601 Van Nuys Blvd Unit 218,91331,CA,Los Angeles,666
18,18,M2903662596,condo,749900,0.0,2,1,Los Angeles,10501 Wilshire Blvd Unit 1204,90024,CA,Los Angeles,888
19,19,M2812691477,condo,100000,0.0,1,1,Los Angeles,3320 3/4 W 76th St,90043,CA,Los Angeles,672
20,20,M1829923582,condo,1099000,0.0,3,3,Los Angeles,10520 Wilshire Blvd Apt 306,90024,CA,Los Angeles,2071
21,21,M9556421113,condo,995000,1.0,1,1,Los Angeles,877 Francisco St Apt 1911,90017,CA,Los Angeles,968
22,22,M2468121646,condo,749000,1.0,2,2,Studio City,12020 Guerin St Apt 102,91604,CA,Los Angeles,1410
23,23,M1948781088,condo,1495000,0.0,2,2,Los Angeles,1130 S Flower St Apt 420,90015,CA,Los Angeles,2255
24,24,M2323409097,condo,930000,0.0,2,2,Los Angeles,1871 Greenfield Ave Apt 102,90025,CA,Los Angeles,1540
25,25,M1206726416,condo,1850000,0.0,2,1,Los Angeles,1855 Industrial St Apt 309,90021,CA,Los Angeles,2360
26,26,M1825769695,condo,1450000,0.0,2,2,Los Angeles,877 Francisco St Apt 1227,90017,CA,Los Angeles,1184
